Waypoint(Transform(Location(x=371.692322, y=-153.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=373.538452, y=-153.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=375.384613, y=-154.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=377.230774, y=-155.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=379.076935, y=-156.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=380.923065, y=-156.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=382.769226, y=-157.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=384.615387, y=-158.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=386.461548, y=-159.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=388.307709, y=-160.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=390.153839, y=-160.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=392.000000, y=-161.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=393.846161, y=-162.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=395.692322, y=-163.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=397.538452, y=-163.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=399.384613, y=-164.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=401.230774, y=-165.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=403.076935, y=-166.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=404.923065, y=-166.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=406.769226, y=-167.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=408.615387, y=-168.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=410.461548, y=-169.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=412.307709, y=-170.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=414.153839, y=-170.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=416.000000, y=-171.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=417.846161, y=-172.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=419.692322, y=-173.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=421.538452, y=-173.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=423.384613, y=-174.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=425.230774, y=-175.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=427.076935, y=-176.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=428.923065, y=-176.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=430.769226, y=-177.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=432.615387, y=-178.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=434.461548, y=-179.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=436.307709, y=-180.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=438.153839, y=-180.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=440.000000, y=-181.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=441.846161, y=-182.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=443.692322, y=-183.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=445.538452, y=-183.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=447.384613, y=-184.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=449.230774, y=-185.446152, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=451.076935, y=-186.215378, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=452.923065, y=-186.984604, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=454.769226, y=-187.753845, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=456.615387, y=-188.523071, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=458.461548, y=-189.292297, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=460.307709, y=-190.061539, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=462.153839, y=-190.830765, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=464.000000, y=-191.599991, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=465.846161, y=-192.369232, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=467.692322, y=-193.138458, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=469.538452, y=-193.907684, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
Waypoint(Transform(Location(x=471.384613, y=-194.676910, z=0.000000), Rotation(pitch=0.000000, yaw=-22.619864, roll=0.000000)))
